word,nucleus,length
κίλλαν,1,S
κίνυντο,1,S
κίον̓,0,S
κίοσιν,2,S
καίουσιν,2,S
καββάλετ̓,0,S
καββάλετ̓,1,S
καδδῦσαι,0,S
καδμεΐωνας,4,S
καδμείοισι,3,S
καδμείοισιν,3,S
καδμείωνας,3,S
καδμηίδι,2,S
καδμηίδι,3,S
καθ̓,0,S
καθίζει,0,S
καθίζει,1,S
καθίζειν,1,S
καθίζοις,1,S
καθίσσας,1,S
καθίσσας,2,L
καθαρῶς,0,S
καθαρῶς,1,S
καθιζέμεν,0,S
καθιζέμεν,1,S
καθύπερθ̓,0,S
καθύπερθ̓,1,S
καθῖζον,1,S
κακή,0,S
κακίστη,0,S
κακίστη,1,S
κακκείοντες,0,S
κακοθημοσύνη,4,S
κακοῖσιν,0,S
κακοῖσιν,2,S
κακτάμεναι,0,S
κακτάμεναι,1,S
κακότητ̓,0,S
κακῆς,0,S
καλέεσθαι,0,S
καλέουσ̓,0,S
καλέσαντες,2,L
καλέσαντο,2,L
καλέσασ̓,0,S
καλέσασ̓,2,L
καλεῖν,0,S
καλιάς,1,S
καλιήν,1,S
καλιαί,1,S
καλιὴν,1,S
καλλίκομοι,1,S
καλλίστους,0,L
καλλίστους,1,S
καλλίσφυρον,2,S
καλλείπειν,0,S
καλλείψειν,0,S
καλλιάνασσα,4,S
καλλιάνειρα,4,S
καλλιγύναικα,4,S
καλλιπαρήῳ,1,S
καλλιπαρήῳ,2,S
καλλιπαρῄους,1,S
καλλιπαρῄους,2,S
καλούς,0,L
καλυδῶνι,3,S
καλυπτόμενοι,0,S
καλυψαμένα,0,S
καλυψαμένα,2,S
καλύψαντες,2,S
καλὸς,0,L
καμάτου,0,S
καμάτου,1,S
καναχηδὰ,3,S
καναχῇσί,0,S
καναχῇσί,1,S
καναχῇσί,3,S
κανόνας,2,S
κανόνεσσ̓,0,S
καρήαθ̓,0,S
καρήαθ̓,2,S
καρήνοις,0,S
καρρέζουσα,0,S
καρτεροθύμους,3,L
καρτεροθύμῳ,3,L
καρχαρόδοντα,1,S
καρχαρόδοντα,4,S
κασιγνήτω,0,S
κασιγνήτῃσιν,4,S
κασσίτερος,1,S
κατ̓,0,S
κατάθηαι,0,S
κατάθηαι,1,S
κατάκειται,0,S
κατάκειται,1,S
κατάσκιον,2,S
κατέβαν,2,S
κατέδησ̓,0,S
κατέδουσιν,3,S
κατέθεντ̓,0,S
κατέκταν,2,S
κατέλεξας,3,S
κατέλεξε,0,S
κατένευσα,3,S
κατένευσας,3,S
κατέπαυσεν,0,S
κατέπηξαν,3,S
κατέπινε,2,L
κατέσταθεν,0,S
καταβαίνων,0,S
καταβαίνων,1,S
καταβεβρίθασιν,4,L
καταγηράσκουσιν,5,S
καταδεύῃ,0,S
καταδύντα,2,L
καταδύντα,3,S
καταδύντες,2,L
καταδύντι,2,L
καταδύντι,3,S
καταθεῖο,0,S
καταθεῖο,1,S
καταθνητοῖσι,0,S
καταθνητοῖσι,4,S
καταθνῄσκων,1,L
κατακείμενον,0,S
κατακείμενον,1,S
κατακρύπτων,0,S
κατακτάς,2,S
κατακτείναντα,3,L
κατακτὰς,2,S
καταλέξεται,0,S
καταλέξεται,1,S
καταλείβεται,0,S
καταλείβεται,1,S
καταλείπειν,0,S
καταλείπειν,1,S
καταλείψουσιν,4,S
καταξέμεν,1,S
καταπεπτηυῖα,5,S
καταπρηνέσσ̓,0,S
καταπτώσσοντ̓,0,S
κατατεθνήκασι,5,S
κατατεθνηῶτας,5,S
καταφθιμένοισιν,0,S
καταφθιμένοισιν,2,S
καταφλέξαι,0,S
καταχεύετ̓,0,S
καταχεύετ̓,1,S
κατεδύσεθ̓,0,S
κατεδύσεθ̓,2,L
κατελθόντ̓,0,S
κατεστόρεσαν,4,S
κατευνήσαιμ̓,0,S
κατηρεφέ̓,0,S
κατηρεφέεσσι,0,S
κατηρεφέεσσι,5,S
κατθάψαι,0,S
κατιὼν,0,S
κατιὼν,1,S
κατῇεν,0,S
καῦμα,1,S
κείνῃσι,2,S
κεδνὰ,1,S
κεδνὰς,1,L
κεινῇσιν,2,S
κεκάλυφθ̓,1,S
κεκαλυμμέναι,1,S
κεκαλυμμένη,1,S
κεκονιμένος,2,L
κεκριμένην,1,S
κεκρύφαται,2,S
κελάδοιο,1,S
κελαινεφέα,4,S
κελαινεφέι,4,S
κελαινεφέϊ,4,S
κελευτιόωντ̓,2,S
κελεύσας,2,L
κεραμεῖ,1,S
κεραοὶ,1,S
κερκίς,1,S
κερκηίς,2,S
κευθμῶνας,2,S
κευθμῶνι,2,S
κεφάλῳ,1,S
κεφαλαί,1,S
κεφαλλῆνας,3,S
κεφαλῆφι,1,S
κεφαλῆφι,3,S
κεφαλῇσιν,1,S
κεφαλῇσιν,3,S
κεχάρητο,1,S
κεχαρισμένος,1,S
κηρία,1,S
κηρία,2,S
κητώεσσαν,3,S
κηφήνεσσι,3,S
κηφῆνας,2,S
κηώεντα,3,S
κηώεντι,3,S
κιθαριστύν,3,L
κικλήσκουσιν,3,S
κικλῄσκουσι,3,S
κικλῄσκουσιν,3,S
κιλίκεσσ̓,0,S
κιλίκεσσ̓,1,S
κινήσαντος,2,L
κιόντα,2,S
κιόντι,2,S
κλάγξας,1,L
κλέεα,2,S
κλέψας,1,L
κλίναντες,1,L
κλίνθη,0,L
κλαίοντα,2,S
κλαύσας,1,L
κλείοιμι,2,S
κλείουσιν,2,S
κληῗδα,1,L
κληῗδα,2,S
κληῗδες,1,L
κληῗσ̓,1,L
κληῗσιν,1,L
κληῗσιν,2,S
κλινθήτην,0,L
κλινθῆναι,0,L
κλονέουσι,3,S
κλυμένην,0,S
κλυτίη,1,S
