work,tlg,book,n,text,text_clean,source
The Rape of Helen,tlg001,1,100,οἱ δʼ ἄρα μητρῴης ἐρατῆς ἀίοντες ἐφετμῆς,οἱ δ’ ἄρα μητρῴης ἐρατῆς ἀίοντες ἐφετμῆς,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,101,φοιτητῆρες Ἔρωτες ἐπερρώοντο τιθήνῃ.,φοιτητῆρες Ἔρωτες ἐπερρώοντο τιθήνῃ.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,102,"ἄρτι μὲν Ἰδαίην ὑπερέδραμον οὔρεος ἄκρην,","ἄρτι μὲν Ἰδαίην ὑπερέδραμον οὔρεος ἄκρην,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,103,ἔνθα λιθοκρήδεμνον ὑπὸ πρηῶνος ἐρίπνην,ἔνθα λιθοκρήδεμνον ὑπὸ πρηῶνος ἐρίπνην,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,104,κουρίζων ἐνόμευε Πάρις πατρώια μῆλα.,κουρίζων ἐνόμευε Πάρις πατρώια μῆλα.,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,105,ποιμαίνων δʼ ἑκάτερθεν ἐπὶ προχοῇσιν ἀναύρου,ποιμαίνων δ’ ἑκάτερθεν ἐπὶ προχοῇσιν ἀναύρου,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,106,"νόσφι μέν ἀγρομένων ἀγέλην πεμπάζετο ταύρων,","νόσφι μέν ἀγρομένων ἀγέλην πεμπάζετο ταύρων,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,107,νόσφι δὲ βοσκομένων διεμέτρεε πώεα μήλων·,νόσφι δὲ βοσκομένων διεμέτρεε πώεα μήλων·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,108,καί τις ὀρεσσαύλοιο δορὴ μετόπισθε χιμαίρης,καί τις ὀρεσσαύλοιο δορὴ μετόπισθε χιμαίρης,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,109,"ἐκκρεμὲς ᾐώρητο καὶ αὐτῶν ἥπτετο μηρῶν,","ἐκκρεμὲς ᾐώρητο καὶ αὐτῶν ἥπτετο μηρῶν,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,110,"ποιμενίη δʼ ἀπέκειτο, βοῶν ἐλάτειρα, καλαῦροψ,","ποιμενίη δ’ ἀπέκειτο, βοῶν ἐλάτειρα, καλαῦροψ,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,111,"τοῖος ἐπεὶ σύριγγος, ἐς ἤθεα βαιὸν ὁδεύων,","τοῖος ἐπεὶ σύριγγος, ἐς ἤθεα βαιὸν ὁδεύων,",tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,112,ἀγροτέρων καλάμων λιγυρὴν ἐδίωκεν ἀοιδήν·,ἀγροτέρων καλάμων λιγυρὴν ἐδίωκεν ἀοιδήν·,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,113,πολλάκι δʼ οἰοπόλοισιν ἐνὶ σταθμοῖσιν ἀείδων,πολλάκι δ’ οἰοπόλοισιν ἐνὶ σταθμοῖσιν ἀείδων,tlg4081.tlg001.perseus-grc2.xml
The Rape of Helen,tlg001,1,114,καὶ ταύρων ἀμέλησε καὶ οὐκ ἐμπάζετο μήλων·,καὶ ταύρων ἀμέλησε καὶ οὐκ ἐμπάζετο μήλων·,tlg4081.tlg001.perseus-grc2.xml
